Online shop URL,Label,Domain length,Top domain length,Presence of prefix 'www' ,Number  of digits,Number  of letters,Number  of dots (.),Number  of hyphens (-),Presence of credit card payment,Presence of money back payment,Presence of cash on delivery payment,Presence of crypto currency,Presence of free contact emails,Presence of logo URL,SSL certificate issuer,SSL certificate expire date,Issuer organization,SSL certificate issuer organization list item,Indication of young domain ,Domain registration date,Presence of TrustPilot reviews,TrustPilot score,Presence of SiteJabber reviews,Presence in the standard Tranco list,Tranco List rank
https://www.77onlineshop.eu,legitimate,19,2,1,2,20,2,0,1,1,1,0,2,0,AlphaSSL CA - SHA256 - G4,Apr 24 15:09:09 2024 GMT,GlobalSign nv-sa,8,2,Hidden,1,3.2,0,0,-1
https://www.ivabriketts.com,fraudulent,19,3,1,0,22,2,0,0,0,0,0,2,1,R3,Sep 15 18:38:56 2023 GMT,Let's Encrypt,2,1,2022-08-15 17:42,0,,0,0,-1
https://www.fishapparelshoe.com,fraudulent,23,3,1,0,26,2,0,1,1,0,0,0,0,R3,Aug 18 15:12:25 2023 GMT,Let's Encrypt,2,1,2023-01-11 00:00,0,,0,0,-1
https://www.girlstrenduk.com,fraudulent,20,3,1,0,23,2,0,1,1,0,0,0,1,GTS CA 1P5,Oct 19 11:44:30 2023 GMT,Google Trust Services LLC,9,1,2023-03-16 00:00,0,,0,0,-1
https://www.ensuenosecuador.com,fraudulent,23,3,1,0,26,2,0,1,0,0,0,0,1,Cloudflare Inc ECC CA-3,Jan 26 23:59:59 2024 GMT,"Cloudflare, Inc.",1,1,2022-11-09 03:06,0,,0,0,-1
https://www.salemotorsports.com,fraudulent,23,3,1,0,26,2,0,1,1,0,0,0,1,GTS CA 1P5,Oct 24 05:53:56 2023 GMT,Google Trust Services LLC,9,1,2023-07-26 06:50,0,,0,0,-1
https://potentialmill.com,fraudulent,17,3,0,0,21,1,0,1,0,0,0,1,1,R3,Oct 19 06:34:05 2023 GMT,Let's Encrypt,2,0,2021-03-29 10:54,0,,0,0,-1
https://www.maximilian.it/en,legitimate,17,2,1,0,22,2,0,1,1,1,0,2,1,R3,Aug 31 20:21:14 2023 GMT,Let's Encrypt,2,0,2000-10-26 00:00,1,3.8,0,0,-1
https://veloklinika.lt,legitimate,14,2,0,0,18,1,0,1,1,0,0,2,1,R3,Oct  1 01:49:48 2023 GMT,Let's Encrypt,2,0,2016-10-14 00:00,0,-1,0,0,-1
https://www.medikos.lt,legitimate,14,2,1,0,17,2,0,1,1,1,0,2,1,R3,Oct 12 03:10:37 2023 GMT,Let's Encrypt,2,0,2013-06-07 00:00,0,-1,0,0,-1
https://www.vynokerai.lt,legitimate,16,2,1,0,19,2,0,1,0,0,0,2,1,R3,Sep  1 02:54:07 2023 GMT,Let's Encrypt,2,0,2020-08-11 00:00,0,-1,0,0,-1
